Codebase_Nodes,Baseline_TFIDF_ms,Ruflo_HNSW_ms
10,0.5,1.151292546497023
35,1.7518796992481205,1.7782107994489689
60,3.003759398496241,2.0477984552692834
85,4.255639097744361,2.2219886117677103
110,5.507518796992482,2.3509232431117297
135,6.7593984962406015,2.4533330899019288
160,8.011278195488723,2.5382912984354546
185,9.263157894736842,2.610888644712851
210,10.515037593984964,2.6742693289871258
235,11.766917293233083,2.7305121241532455
260,13.018796992481203,2.781063254587357
285,14.270676691729324,2.826969562251055
310,15.522556390977446,2.869013245329191
335,16.774436090225564,2.907794169882385
360,18.026315789473685,2.943782476044915
385,19.278195488721806,2.977353481686399
410,20.530075187969928,3.0088115834622227
435,21.78195488721805,3.038407071550794
460,23.033834586466167,3.066348238748973
485,24.28571428571429,3.09281028077447
510,25.537593984962406,3.117941956981797
535,26.789473684210527,3.1418706554690368
560,28.04135338345865,3.1647063003637275
585,29.29323308270677,3.1865444050473317
610,30.54511278195489,3.2074684859851152
635,31.796992481203006,3.227551991402363
660,33.04887218045113,3.246859857311735
686,34.30075187969925,3.2654497740882853
711,35.55263157894737,3.283373225893902
736,36.80451127819549,3.300676350148424
761,38.056390977443606,3.317400653185522
786,39.308270676691734,3.333583610038175
811,40.560150375939855,3.349259170161816
836,41.81203007518798,3.364458186259901
861,43.0639097744361,3.379208779829944
886,44.31578947368421,3.393536654314939
911,45.567669172932334,3.407465364621402
936,46.819548872180455,3.4210165501023444
961,48.07142857142858,3.43421013679173
986,49.3233082706767,3.447064513635186
1011,50.57518796992481,3.459596686628917
1036,51.82706766917294,3.4718224141089444
1061,53.078947368421055,3.4837563258909086
1086,54.33082706766917,3.4954120285199113
1111,55.5827067669173,3.5068021985294346
1136,56.83458646616541,3.517938665312207
1161,58.08646616541354,3.528832484961355
1186,59.338345864661655,3.5394940062373714
1211,60.59022556390978,3.549932929647505
1236,61.8421052631579,3.560158360482905
1261,63.09398496240601,3.5701788565402355
1286,64.34586466165415,3.5800024711544998
1311,65.59774436090225,3.589636792085261
1336,66.84962406015039,3.599088976726688
1362,68.1015037593985,3.6083657840507346
1387,69.35338345864662,3.617473603640566
1412,70.60526315789474,3.6264184821266148
1437,71.85714285714286,3.6352061472992085
1462,73.10902255639098,3.643842030138587
1487,74.3609022556391,3.6523312849744975
1512,75.61278195488721,3.6606788079627566
1537,76.86466165413535,3.668889254044626
1562,78.11654135338347,3.676967052536086
1587,79.36842105263159,3.684916421477726
1612,80.62030075187971,3.6927413808616363
1637,81.87218045112782,3.700445764839149
1662,83.12406015037595,3.708033233002224
1687,84.37593984962406,3.715507280821577
1712,85.6278195488722,3.7228712493160776
1737,86.8796992481203,3.730128334020359
1762,88.13157894736842,3.7372815933109047
1787,89.38345864661655,3.7443339561448887
1812,90.63533834586467,3.751288229260796
1837,91.88721804511279,3.758147103885119
1862,93.13909774436091,3.7649131619852403
1887,94.39097744360902,3.771588882104857
1912,95.64285714285715,3.7781766448149523
1937,96.89473684210526,3.784678737810314
1962,98.1466165413534,3.7910973606789042
1987,99.3984962406015,3.7974346293689574
2013,100.65037593984962,3.8036925803765156
2038,101.90225563909775,3.809873174674127
2063,103.15413533834588,3.815978301399679
2088,104.40601503759399,3.822009781322728
2113,105.65789473684211,3.8279693701042334
2138,106.90977443609023,3.8338587613643056
2163,108.16165413533834,3.839679589571372
2188,109.41353383458647,3.845433432765098
2213,110.6654135338346,3.851121815124406
2238,111.91729323308272,3.856746209391057
2263,113.16917293233082,3.8623080391584215
2288,114.42105263157895,3.8678086810343526
2313,115.67293233082708,3.8732494666863744
2338,116.9248120300752,3.878631684776787
2363,118.17669172932331,3.8839565827947267
2388,119.42857142857143,3.88922536879169
2413,120.68045112781957,3.8944392130265704
2438,121.93233082706769,3.899599249525806
2463,123.1842105263158,3.904706577563838
2488,124.43609022556392,3.909762263068723
2513,125.68796992481202,3.9147673399573883
2538,126.93984962406017,3.9197228114047156
2563,128.1917293233083,3.9246296510503513
2588,129.4436090225564,3.929488804146874
2613,130.6954887218045,3.934301188652705
2638,131.94736842105263,3.939067696272922
2663,133.19924812030078,3.9437891934509306
2689,134.45112781954887,3.9484665223137503
2714,135.703007518797,3.953100501573493
2739,136.95488721804512,3.957691927387451
2764,138.20676691729324,3.9622415741790507
2789,139.45864661654136,3.9667501954217945
2814,140.71052631578948,3.9712185243881684
2839,141.9624060150376,3.9756472748653846
2864,143.21428571428572,3.980037141839701
2889,144.46616541353384,3.9843888021509604
2914,145.71804511278197,3.9887029151188935
2939,146.9699248120301,3.9929801231426296
2964,148.2218045112782,3.9972210522747837
2989,149.47368421052633,4.001426312771401
3014,150.72556390977442,4.005596499618966
3039,151.97744360902257,4.009732193039618
3064,153.2293233082707,4.013833958975636
3089,154.48120300751881,4.017902349554223
3114,155.73308270676694,4.021937903533527
3139,156.98496240601503,4.025941146730807
3164,158.23684210526318,4.029912592433587
3189,159.4887218045113,4.033852741794629
3214,160.74060150375942,4.037762084211443
3239,161.99248120300751,4.0416410976910875
3264,163.24436090225564,4.0454902492009275
3289,164.49624060150379,4.049309995005987
3314,165.7481203007519,4.053100780993521
3340,167.0,4.056863042985373
3365,168.25187969924812,4.060597207038666
3390,169.50375939849624,4.0643036897353495
3415,170.7556390977444,4.067982898461096
3440,172.00751879699249,4.07163523167401
3465,173.2593984962406,4.075261079163587
3490,174.51127819548873,4.07886082230036
3515,175.76315789473685,4.08243483427662
3540,177.01503759398497,4.0859834803385935
3565,178.2669172932331,4.0895071180104345
3590,179.5187969924812,4.093006097310389
3615,180.77067669172934,4.096480760959437
3640,182.02255639097746,4.099931444582745
3665,183.27443609022558,4.103358476904207
3690,184.5263157894737,4.106762179934365
3715,185.77819548872182,4.110142869151984
3740,187.03007518796994,4.113500853679516
3765,188.28195488721803,4.116836436452722
3790,189.53383458646618,4.120149914384674
3815,190.7857142857143,4.123441578524346
3840,192.03759398496243,4.126711714210037
