Iteration,Standard_Agent_Cumulative_USD,ARG_Swarm_Cumulative_USD
1,0.015,0.005
2,0.035,0.01
3,0.060000000000000005,0.015
4,0.09,0.02
5,0.125,0.025
6,0.165,0.030000000000000002
7,0.21000000000000002,0.035
8,0.26,0.04
9,0.315,0.045
10,0.375,0.049999999999999996
11,0.44,0.05499999999999999
12,0.51,0.05999999999999999
13,0.585,0.06499999999999999
14,0.6649999999999999,0.06999999999999999
15,0.7499999999999999,0.075
16,0.8399999999999999,0.08
17,0.9349999999999998,0.085
18,1.035,0.09000000000000001
19,1.14,0.09500000000000001
20,1.25,0.10000000000000002
21,1.365,0.10500000000000002
22,1.4849999999999999,0.11000000000000003
23,1.6099999999999999,0.11500000000000003
24,1.7399999999999998,0.12000000000000004
25,1.8749999999999998,0.12500000000000003
26,2.0149999999999997,0.13000000000000003
27,2.1599999999999997,0.13500000000000004
28,2.3099999999999996,0.14000000000000004
29,2.4649999999999994,0.14500000000000005
30,2.6249999999999996,0.15000000000000005
31,2.7899999999999996,0.15500000000000005
32,2.9599999999999995,0.16000000000000006
33,3.1349999999999993,0.16500000000000006
34,3.3149999999999995,0.17000000000000007
35,3.4999999999999996,0.17500000000000007
36,3.6899999999999995,0.18000000000000008
37,3.8849999999999993,0.18500000000000008
38,4.084999999999999,0.19000000000000009
39,4.289999999999999,0.1950000000000001
40,4.499999999999999,0.2000000000000001
41,4.714999999999999,0.2050000000000001
42,4.934999999999999,0.2100000000000001
43,5.159999999999998,0.2150000000000001
44,5.389999999999999,0.2200000000000001
45,5.624999999999999,0.22500000000000012
46,5.864999999999999,0.23000000000000012
47,6.109999999999999,0.23500000000000013
48,6.359999999999999,0.24000000000000013
49,6.614999999999999,0.24500000000000013
50,6.874999999999999,0.2500000000000001
51,7.139999999999999,0.2550000000000001
52,7.409999999999998,0.2600000000000001
53,7.684999999999999,0.2650000000000001
54,7.964999999999999,0.27000000000000013
55,8.249999999999998,0.27500000000000013
56,8.54,0.28000000000000014
57,8.834999999999999,0.28500000000000014
58,9.135,0.29000000000000015
59,9.44,0.29500000000000015
60,9.75,0.30000000000000016
61,10.065,0.30500000000000016
62,10.385,0.31000000000000016
63,10.709999999999999,0.31500000000000017
64,11.04,0.3200000000000002
65,11.375,0.3250000000000002
66,11.715,0.3300000000000002
67,12.06,0.3350000000000002
68,12.41,0.3400000000000002
69,12.765,0.3450000000000002
70,13.125,0.3500000000000002
71,13.49,0.3550000000000002
72,13.86,0.3600000000000002
73,14.235,0.3650000000000002
74,14.615,0.3700000000000002
75,15.0,0.3750000000000002
76,15.39,0.3800000000000002
77,15.785,0.38500000000000023
78,16.185,0.39000000000000024
79,16.59,0.39500000000000024
80,17.0,0.40000000000000024
81,17.415,0.40500000000000025
82,17.835,0.41000000000000025
83,18.26,0.41500000000000026
84,18.69,0.42000000000000026
85,19.125,0.42500000000000027
86,19.565,0.43000000000000027
87,20.01,0.4350000000000003
88,20.46,0.4400000000000003
89,20.915,0.4450000000000003
