Iteration,Standard_Agent_Retention_pct,ARG_Retention_pct
1,100.0,100
2,100.0,100
3,100.0,100
4,100.0,100
5,100.0,100
6,100.0,100
7,100.0,100
8,100.0,100
9,100.0,100
10,100.0,100
11,90.48374180359595,100
12,81.87307530779819,100
13,74.08182206817179,100
14,67.03200460356393,100
15,60.653065971263345,100
16,54.88116360940264,100
17,49.65853037914095,100
18,44.932896411722155,100
19,40.65696597405991,100
20,36.787944117144235,100
21,33.28710836980795,100
22,30.1194211912202,100
23,27.25317930340126,100
24,24.659696394160644,100
25,22.313016014842983,100
26,20.189651799465537,100
27,18.26835240527346,100
28,16.529888822158654,100
29,14.956861922263503,100
30,13.53352832366127,100
31,12.24564282529819,100
32,11.080315836233387,100
33,10.025884372280371,100
34,9.071795328941247,100
35,8.20849986238988,100
36,7.427357821433388,100
37,6.7205512739749755,100
38,6.081006262521795,100
39,5.502322005640721,100
40,4.978706836786395,100
41,4.50492023935578,100
42,4.076220397836621,100
43,3.6883167401239993,100
44,3.3373269960326066,100
45,3.0197383422318502,100
46,2.7323722447292558,100
47,2.4723526470339388,100
48,2.237077185616559,100
49,2.024191144580438,100
50,1.8315638888734178,100
51,1.6572675401761237,100
52,1.4995576820477703,100
53,1.3568559012200934,100
54,1.2277339903068436,100
55,1.1108996538242306,100
56,1.0051835744633575,100
57,0.9095277101695816,100
58,0.8229747049020023,100
59,0.7446583070924339,100
60,0.6737946999085467,100
61,0.6096746565515633,100
62,0.5516564420760771,100
63,0.4991593906910213,100
64,0.4516580942612666,100
65,0.40867714384640663,100
66,0.3697863716482929,100
67,0.3345965457471272,100
68,0.3027554745375813,100
69,0.27394448187683684,100
70,0.24787521766663584,100
71,0.22428677194858013,100
72,0.2029430636295734,100
73,0.18363047770289057,100
74,0.1661557273173934,100
75,0.15034391929775723,100
76,0.13603680375478927,100
77,0.1230911902673481,100
78,0.11137751478448024,100
79,0.10077854290485104,100
80,0.09118819655545163,100
81,0.08251049232659038,100
82,0.07465858083766792,100
83,0.06755387751938437,100
84,0.06112527611295723,100
85,0.055308437014783364,100
86,0.05004514334406104,100
87,0.0452827182886797,100
88,0.04097349789797864,100
89,0.03707435404590882,100
90,0.033546262790251184,100
91,0.030353913807886677,100
92,0.027465356997214203,100
93,0.024851682710795187,100
94,0.02248673241788482,100
95,0.020346836901064418,100
96,0.01841057936675792,100
97,0.016658581098763323,100
98,0.01507330750954765,100
99,0.01363889264820114,100
100,0.012340980408667957,100
